project,commit,typeRFT,description,pre_commit_line_number,pre_commit_code_element,pre_commit_description,post_commit_line_number,post_commit_code_element,post_commit_description,MANUAL - observation,MANUAL - Abstracted Observation,MANUAL - High Level Category,MANUAL - additional details
camel,8d972b24e0ee74fb92c646d75e875a11eb11ebe1,Modify Class Annotation,"Modify Class Annotation @Ignore(""Must be manually tested. Provide your own accessKey and secretKey!"") to @Ignore(""Must be manually tested. Provide your own credentials below!"") in class org.apache.camel.component.aws.ddb.integration.DdbComponentIntegrationTest",36,"@Ignore(""Must be manually tested. Provide your own accessKey and secretKey!"")",original annotation,36,"@Ignore(""Must be manually tested. Provide your own credentials below!"")",modified annotation,Test for object creation. Replaces Throws with assertion(checking for instance of & not null),[ Ad-hoc @ExpectedException ],EXPECTED EXCEPTION,ADJUSTING EXCEPTION HANDLING - EXPECTED VS CHECK STATE
druid,76fbb12959312ab659008683c27264e106597b94,Modify Method Annotation,Modify Method Annotation @Test(timeout = 5_000) to @Test(timeout = 50_000) in method public testSimpleSubmission() : void from class io.druid.server.namespace.cache.NamespaceExtractionCacheManagerExecutorsTest,141,@Test(timeout = 5_000),original annotation,141,@Test(timeout = 50_000),modified annotation,RFT @ExpectedException using @Rule to check error messages,[RFT Expected Exception],EXPECTED EXCEPTION,ADJUSTING EXCEPTION HANDLING - RULE VS EXPECTED
druid,f3dec31a107663af23a957fb1fb06e14fc738eff,Remove Method Annotation,Remove Method Annotation @Ignore in method public testFilteredAggregationWithNotIn() : void from class io.druid.sql.calcite.CalciteQueryTest,2517,@Ignore,deleted annotation,2516,public testFilteredAggregationWithNotIn() : void,method declaration with removed annotation,refactor @ExpectedException to @Rule exception,[RFT Expected Exception],EXPECTED EXCEPTION,ADJUSTING EXCEPTION HANDLING - RULE VS EXPECTED
flink,7a46bfac526d7827b31e2c7139e461d8a8237311,Modify Method Annotation,Modify Method Annotation @Test(expected = CodeGenException.class) to @Test in method public testAsFromPojo() : void from class org.apache.flink.api.java.table.test.AsITCase,63,@Test(expected = CodeGenException.class),original annotation,113,@Test,modified annotation,Do not require annotation since test itself defines timeout exception,[RFT Expected Exception],EXPECTED EXCEPTION,TEST CODE ITSELF DEFINES TIMEOUT EXCEPTION
flink,63c6dad4d8e78c50d9e170f605908d44e9918df6,Modify Method Annotation,Modify Method Annotation @Test(expected = ExpressionException.class) to @Test(expected = ExpressionParserException.class) in method public testNoNestedAggregation() : void from class org.apache.flink.api.java.table.test.AggregationsITCase,180,@Test(expected = ExpressionException.class),original annotation,180,@Test(expected = ExpressionParserException.class),modified annotation,try and fail refactored using @ExpectedException,[RFT Expected Exception],EXPECTED EXCEPTION,ADJUSTING EXCEPTION HANDLING - TRY AND FAIL VS EXPECTED
kafka,7de22453bbd05a7ac629543e09626ac6987ce306,Modify Method Annotation,Modify Method Annotation @Test(expected = LockException.class) to @Test in method public shouldThrowLockExceptionIfIOExceptionCaughtWhenTryingToLockStateDir() : void from class org.apache.kafka.streams.processor.internals.GlobalStateManagerImplTest,378,@Test(expected = LockException.class),original annotation,379,@Test,modified annotation,Reverts back to old school Junit 3 try fail -> no discussion but maybe because try and fail allows you to check error message. You can probably use @Rule,[RFT Expected Exception],EXPECTED EXCEPTION,ADJUSTING EXCEPTION HANDLING - TRY AND FAIL VS EXPECTED
kafka,b297cead3ef7ee3516590e696975071cadb06fba,Modify Method Annotation,Modify Method Annotation @Test to @Test(expected = IllegalStateException.class) in method public testCannotStartOnceClosed() : void from class org.apache.kafka.streams.KafkaStreamsTest,69,@Test,original annotation,74,@Test(expected = IllegalStateException.class),modified annotation,reversed from @ExpectedException to try with fail,[RFT Expected Exception],EXPECTED EXCEPTION,ADJUSTING EXCEPTION HANDLING - TRY AND FAIL VS EXPECTED
flink,1456f0a7084f45056ea9b09e3f85b1aae6b11c6e,Remove Attribute Annotation,Remove Attribute Annotation @Rule in attribute public temporaryFolder : TemporaryFolder from class org.apache.flink.test.util.AbstractTestBase,52,@Rule,deleted annotation,53,public temporaryFolder : TemporaryFolder,attribute declaration with removed annotation,Adds expected exception while fixing bug related to run time exception. Aids in debugging,[RFT Expected Exception],EXPECTED EXCEPTION,TEST DRIVE DEVELOPMENT
orientdb,a8ac595e36c8b4c2c3069c365dcbed220726424d,Add Class Annotation,Add Class Annotation @FixMethodOrder(MethodSorters.NAME_ASCENDING) in class com.orientechnologies.distribution.integration.demodb.ODemoDbFromDocumentationShortestPathsIT,8,com.orientechnologies.distribution.integration.demodb.ODemoDbFromDocumentationShortestPathsIT,original class declaration,14,@FixMethodOrder(MethodSorters.NAME_ASCENDING),added annotation,Uses @Expected Exception annotation for testdriven development,[TDD -> @Expected],EXPECTED EXCEPTION,TEST DRIVE DEVELOPMENT
hadoop,829a8e26b9fcd0f834c396e557ee6fb1509906d4,Add Attribute Annotation,Add Attribute Annotation @Parameterized.Parameter(value = 0) in attribute public allocateLeft : boolean from class org.apache.hadoop.yarn.server.resourcemanager.reservation.planning.TestGreedyReservationAgent,79,package allocateLeft : boolean,original attribute declaration,70,@Parameterized.Parameter(value = 0),added annotation,wrong exceptions,[ General Exception ],EXPECTED EXCEPTION,EXCEPTION TOO GENREAL
hadoop,114d41aeb26291c035dea27590eb6119d1f2d15e,Modify Method Annotation,Modify Method Annotation @Test(expected = Exception.class) to @Test in method public testQueueParsingWhenLabelsNotExistedInNodeLabelManager() : void from class org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.TestQueueParsing,554,@Test(expected = Exception.class),original annotation,554,@Test,modified annotation,Anti-pattern. Exception.class is very general.,[RFT Exception] [Too general],EXPECTED EXCEPTION,EXCEPTION TOO GENREAL
hadoop,b56daff6a186599764b046248565918b894ec116,Modify Method Annotation,Modify Method Annotation @Test(timeout = 100000) to @Test(expected = HadoopIllegalArgumentException.class) in method public testBalancerWithZeroThreadsForMove() : void from class org.apache.hadoop.hdfs.server.balancer.TestBalancer,930,@Test(timeout = 100000),original annotation,941,@Test(expected = HadoopIllegalArgumentException.class),modified annotation,"if negative test (Expected Exception) use external resource, must shut it down properly to other unit test can use it.",[Limitation in @ExpectedException],EXPECTED EXCEPTION,ADJUSTING EXCEPTION HANDLING - RESOURCE LEAK
camel,269cc2c54220296ac1dc3d1552138f1e8ac309ad,Add Attribute Annotation,Add Attribute Annotation @TempDir in attribute public configFolder : File from class org.apache.camel.maven.GenerateConnectorConfigMojoTest,37,public configFolder : TemporaryFolder,original attribute declaration,36,@TempDir,added annotation,Redundant Resources RFT to @Rule,[Redundant Resource -> @Rule],RULE,REMOVE DUPLICATION / REUSABILITY
camel,8ba68e34a397c69e78f461b4fb274f457cd81e37,Add Class Annotation,"Add Class Annotation @Ignore(""Ignored test because of external dependency."") in class org.apache.camel.component.http4.HttpSNIHostNameTest",28,org.apache.camel.component.http4.HttpSNIHostNameTest,original class declaration,29,"@Ignore(""Ignored test because of external dependency."")",added annotation,Rft field in @BeforeClass to @ClassRule for reusability,[Redundant Resource -> @Rule],RULE,REMOVE DUPLICATION / REUSABILITY
flink,56ae08e2b3ef6b1183d8f88b36cb42749b5c221e,Remove Method Annotation,Remove Method Annotation @Ignore in method public testPersistentSourceWithOffsetUpdates() : void from class org.apache.flink.streaming.connectors.kafka.KafkaITCase,230,@Ignore,deleted annotation,225,public testPersistentSourceWithOffsetUpdates() : void,method declaration with removed annotation,refactor code in beforeclass to reusable code using classrule,[Redundant Resource -> @Rule],RULE,REMOVE DUPLICATION / REUSABILITY
hbase,0593dda66359dbd1ba3a06dbd12b8f2521eef6b9,Modify Method Annotation,Modify Method Annotation @Test(timeout = 20000) to @Test in method public testCancelChore() : void from class org.apache.hadoop.hbase.TestChoreService,275,@Test(timeout = 20000),original annotation,275,@Test,modified annotation,Explicit timeout is replaced using @ClassRule,[timeout -> @ClassRule],RULE,REMOVE DUPLICATION / REUSABILITY
hbase,0593dda66359dbd1ba3a06dbd12b8f2521eef6b9,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test in method public testComplexMulti() : void from class org.apache.hadoop.hbase.zookeeper.TestZKMulti,113,@Test(timeout = 60000),original annotation,113,@Test,modified annotation,Explicit timeout is replaced using @ClassRule,[timeout -> @ClassRule],RULE,REMOVE DUPLICATION / REUSABILITY
hbase,8f1e01b6e54169c58900eeddb9de6ca6487f6a22,Modify Method Annotation,Modify Method Annotation @Test(timeout = 300000) to @Test in method public testTruncateTable() : void from class org.apache.hadoop.hbase.client.TestAdmin1,376,@Test(timeout = 300000),original annotation,376,@Test,modified annotation,Explicit timeout is replaced using @ClassRule,[timeout -> @ClassRule],RULE,REMOVE DUPLICATION / REUSABILITY
orientdb,b92cb52703780456ee8283a287709097ac0f2a6a,Remove Method Annotation,Remove Method Annotation @BeforeClass in method public beforeClass() : void from class com.orientechnologies.orient.graph.GraphNoTxAbstractTest,64,@BeforeClass,deleted annotation,62,public init(dbName String) : void,method declaration with removed annotation,deduplicate code by using @Rule testname,[RFT @Rule],RULE,REMOVE DUPLICATION / REUSABILITY
kafka,3e4176fdd653f002ce878d99ba5c05389c8b6cb4,Add Class Annotation,Add Class Annotation @Ignore in class org.apache.kafka.streams.integration.AbstractResetIntegrationTest,71,org.apache.kafka.streams.integration.AbstractResetIntegrationTest,original class declaration,71,@Ignore,added annotation,remove code duplication using @Rule external rule,[RFT @Rule],RULE,REMOVE DUPLICATION / REUSABILITY
flink,eea3a8227497de8bd282b3b025f587d54e25d825,Remove Class Annotation,Remove Class Annotation @Category(LegacyAndNew.class) in class org.apache.flink.test.util.AbstractTestBase,59,@Category(LegacyAndNew.class),deleted annotation,30,org.apache.flink.test.util.AbstractTestBase,class declaration with removed annotation,use @Rule temporary tool to create temp folder in setup instead of defining your own using (System.getproperty),[RFT @Rule] [@Rule tempFolder],RULE,TEMP FOLDER
hadoop,773d312f7412d5050c106ed3a1cd0d1934bfa2e0,Add Method Annotation,Add Method Annotation @AfterClass in method public cleanup() : void from class org.apache.hadoop.ozone.container.common.TestBlockDeletingService,100,public cleanup() : void,original method declaration,95,@AfterClass,added annotation,uses class.getName (from junit 3) which is used for logging.,[RFT @Rule] [@Rule getTestName],RULE,GET TEST NAME
hadoop,80d279b481d4f289e42f12463cc7ff5cd8a50398,Modify Method Annotation,Modify Method Annotation @Test(timeout = 1000) to @Test in method public testPass() : void from class org.apache.hadoop.fs.shell.find.TestAnd,34,@Test(timeout = 1000),original annotation,39,@Test,modified annotation,"If all test has same timeout value, use @Rule Timeout, which is applies timeout too all tests.",[RFT @Rule] [@Rule timeout],RULE,TIMEOUT
hadoop,c8100fdb474bce91c1154a07d85ba99c0c6099d5,Modify Method Annotation,Modify Method Annotation @Test(timeout = 90000) to @Test in method public testDSShellWithoutDomainV2() : void from class org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,283,@Test(timeout = 90000),original annotation,282,@Test,modified annotation,"If all test has same timeout value, use @Rule Timeout, which is applies timeout too all tests.",[RFT @Rule] [@Rule timeout],RULE,TIMEOUT
hadoop,302d499cf14aa30f086e23c3f6f2116fe5389c3e,Modify Method Annotation,Modify Method Annotation @Test(timeout = 1000) to @Test in method public processOptionsFollowLink() : void from class org.apache.hadoop.fs.shell.find.TestFind,55,@Test(timeout = 1000),original annotation,60,@Test,modified annotation,rft using @Rule to replace redundant timeout,[RFT @Rule] [@Rule timeout],RULE,REDUNDANT TIMEOUT
hadoop,d81706cd997c380f502d55d8c3263a53e533baa4,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test in method public testTrashStickyBit() : void from class org.apache.hadoop.hdfs.TestEncryptionZones,233,@Test(timeout = 60000),original annotation,239,@Test,modified annotation,rft using @Rule to replace redundant timeout,[RFT @Rule] [@Rule timeout],RULE,REDUNDANT TIMEOUT
hive,4408661c0501bf1e7991e144f65b49732f4c641b,Add Class Annotation,Add Class Annotation @FixMethodOrder(MethodSorters.NAME_ASCENDING) in class org.apache.hadoop.hive.ql.parse.TestParseDriver,25,org.apache.hadoop.hive.ql.parse.TestParseDriver,original class declaration,27,@FixMethodOrder(MethodSorters.NAME_ASCENDING),added annotation,Junit 4.1 allowed test to be deterministic by introducing @FixMethodOrder(MethodSorters.NAME_ASCENDING),[Fix Flakiness -> @FixMethodOrder],ORDER-TEST,FLAKY
hive,1b803f8050b0dc7b1771bdb7ef22556e6df71cef,Add Class Annotation,Add Class Annotation @FixMethodOrder(MethodSorters.NAME_ASCENDING) in class org.apache.hadoop.hive.ql.parse.TestParseDriver,25,org.apache.hadoop.hive.ql.parse.TestParseDriver,original class declaration,27,@FixMethodOrder(MethodSorters.NAME_ASCENDING),added annotation,promotes @FixMethodOrder(MethodSorters.NAME_ASCENDING) -> bypass order dependent flaky test.,[Fix Flakiness -> @FixMethodOrder],ORDER-TEST,FLAKY
camel,62e35c78585c3b2da63ee4c304f9a0fd335b3190,Add Class Annotation,Add Class Annotation @DirtiesContext in class org.apache.camel.spring.boot.SpringConverterDelegationTest,31,org.apache.camel.spring.boot.SpringConverterDelegationTest,original class declaration,32,@DirtiesContext,added annotation,Junit 4.1 allowed test to be deterministic by introducing @FixMethodOrder(MethodSorters.NAME_ASCENDING),[Fix Flakiness -> @FixMethodOrder],ORDER-TEST,FLAKY
camel,c2e63a1c3d2f07de25d0dd3079930f64327067ad,Add Class Annotation,"Add Class Annotation @Ignore(""Fails with Address already in use"") in class org.apache.camel.component.jetty.SpringJettyNoConnectionRedeliveryTest",28,org.apache.camel.component.jetty.SpringJettyNoConnectionRedeliveryTest,original class declaration,32,"@Ignore(""Fails with Address already in use"")",added annotation,"In junit 4, natural junit test case ordering changes from each run",[Fix Flakiness -> @FixMethodOrder],ORDER-TEST,FLAKY
cassandra,6c445d6b7f3c8933a0bfd599ba8455b7254a323d,Add Class Annotation,Add Class Annotation @RunWith(Parameterized.class) in class org.apache.cassandra.db.RecoveryManager2Test,40,org.apache.cassandra.db.RecoveryManager2Test,original class declaration,54,@RunWith(Parameterized.class),added annotation,Use @RunWith(OrderedJUnit4ClassRunner),[ Fix flakiness -> @RunWith(OrderedJUnit4ClassRunner) ],ORDER-TEST,FLAKY
camel,e37bbb3f7319eba28fb897dc764c7927d8319688,Add Attribute Annotation,Add Attribute Annotation @ClassRule in attribute public embeddedZookeeper : EmbeddedZookeeper from class org.apache.camel.component.kafka.BaseEmbeddedKafkaTest,40,package embeddedZookeeper : EmbeddedZookeeper,original attribute declaration,41,@ClassRule,added annotation,Migrate @Rule since not supported in Junit 5,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,6e299e3fb7ce685fb8cc1a67d227e7cad52f1a02,Add Method Annotation,Add Method Annotation @Ignore in method public removeImageHeaderTest() : void from class org.apache.camel.component.docker.headers.RemoveImageCmdHeaderTest,37,public removeImageHeaderTest() : void,original method declaration,39,@Ignore,added annotation,migration to junit 5. Migrated camel-base64/beanio/beanstalk tests to JUnit 5.,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,1b9a99aa45064e87f4a29d7a60e792961600fef6,Add Method Annotation,Add Method Annotation @DisabledOnOs(AIX) in method package validateShouldSuccessWithExpliciteDefaultGroup() : void from class org.apache.camel.component.bean.validator.BeanValidatorRouteTest,62,public validateShouldSuccessWithExpliciteDefaultGroup() : void,original method declaration,66,@DisabledOnOs(AIX),added annotation,migrate camel FTP to junit 5.,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,cf76f69a56de030d03cbed89956704a954d3945e,Add Method Annotation,Add Method Annotation @BeforeEach in method public setUp() : void from class org.apache.camel.component.file.remote.sftp.FromSftpRecursiveNotStepwiseNoBasePathTest,32,public setUp() : void,original method declaration,33,@BeforeEach,added annotation,"migrating to junit 5. Gradual process, issue remains open.",[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,99a76e70678b4a99ff7139fed7bd393dafaacf6f,Add Method Annotation,"Add Method Annotation @Ignore(""This is a manual test, start Apache ActiveMQ broker manually first, using bin/activemq console"") in method public testTXForceShutdown() : void from class org.apache.camel.component.jms.issues.JmsTXForceShutdownIssueTest",42,public testTXForceShutdown() : void,original method declaration,43,"@Ignore(""This is a manual test, start Apache ActiveMQ broker manually first, using bin/activemq console"")",added annotation,"migrating to junit 5. Gradual process, issue remains open.",[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,39413077db8e41626252131e6c81e710f452ab81,Add Method Annotation,Add Method Annotation @Before in method public setUp() : void from class org.apache.camel.processor.BeanWithExceptionTest,74,protected setUp() : void,original method declaration,80,@Before,added annotation,"migrating to junit 5. Gradual process, issue remains open.",[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,6ed7f2cec01a2417eb8f37f509154f2505f9db2d,Add Method Annotation,"Add Method Annotation @Ignore(""Since upgrade to smack 4.2.0 the robust connection handling doesn't seem to work, as consumerEndpoint below receives only 5 payloads instead of the expected 9"") in method public testXmppChatWithRobustConnection() : void from class org.apache.camel.component.xmpp.XmppRobustConnectionTest",30,public testXmppChatWithRobustConnection() : void,original method declaration,48,"@Ignore(""Since upgrade to smack 4.2.0 the robust connection handling doesn't seem to work, as consumerEndpoint below receives only 5 payloads instead of the expected 9"")",added annotation,Migrated to junit 5 (open issue) - sparsed,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,c32ae6501905e7b1724f387e3993b6ba22bb5216,Add Method Annotation,"Add Method Annotation @Ignore(""Camel 3.0: investigate why this fail"") in method public testCxfRsBeanWithCamelPropertiesHolder() : void from class org.apache.camel.component.cxf.jaxrs.CxfRsEndpointWithProperties",38,public testCxfRsBeanWithCamelPropertiesHolder() : void,original method declaration,40,"@Ignore(""Camel 3.0: investigate why this fail"")",added annotation,Migrating old code to junit 4 while migrating to junit 5.,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,a2aa6ac8300a84a1f74a8b19fae86e328865db8f,Modify Class Annotation,Modify Class Annotation @RunWith(JUnit4TestRunner.class) to @RunWith(PaxExam.class) in class org.apache.camel.itest.osgi.jaxb.JaxbFallbackConverterTest,30,@RunWith(JUnit4TestRunner.class),original annotation,30,@RunWith(PaxExam.class),modified annotation,"Migrating junit 4 to 5. Camel uses test by inheritance to allow migration and adoption easier. Thus, they allow junit 4 and junit 5 base class, as well as mixed base.",[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,cf76f69a56de030d03cbed89956704a954d3945e,Remove Method Annotation,Remove Method Annotation @Before in method public setUp() : void from class org.apache.camel.component.file.remote.FtpConsumerExcludeNameTest,35,@Before,deleted annotation,34,public setUp() : void,method declaration with removed annotation,Junit5 migration in April 2020 for camel-cbor/chunk/cmis,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,a43d1775f597b6cddec8654f936a5372da780edc,Remove Method Annotation,Remove Method Annotation @Ignore in method public commitContainerHeaderTest() : void from class org.apache.camel.component.docker.headers.CommitContainerCmdHeaderTest,44,@Ignore,deleted annotation,43,public commitContainerHeaderTest() : void,method declaration with removed annotation,Junit5 migration in Nov 2019 for camel-ftp,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,ba737e77eb1c4abf511c66f1ee0914490f98388c,Add Class Annotation,Add Class Annotation @FixMethodOrder(MethodSorters.NAME_ASCENDING) in class org.apache.camel.component.netty.NettyUdpConnectedSendTest,35,org.apache.camel.component.netty.NettyUdpConnectedSendTest,original class declaration,38,@FixMethodOrder(MethodSorters.NAME_ASCENDING),added annotation,Partial migrate to Junit 5 (Camel-AWS2-Kinesis),[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,5deafafa4d673fbce2c89ca54cfc340597cfc384,Modify Method Annotation,Modify Method Annotation @Test(expected = RuntimeCamelException.class) to @Test in method public testCreateNewEndpointForTimer() : void from class org.apache.camel.metrics.MetricsComponentTest,146,@Test(expected = RuntimeCamelException.class),original annotation,147,@Test,modified annotation,"migrating to Junit5 dude to Module Vintage / Junit introducing reRun potentially flaky test @annotation, but doesn't work well with sunfire",[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,02fe70c9f3a4550d1328c7e1d325ce4ca16503ef,Modify Method Annotation,Modify Method Annotation @Test(expected = PropertyBindingException.class) to @Test in method public createEndpointWithMinimalKMSClientMisconfiguration() : void from class org.apache.camel.component.aws2.lambda.LambdaComponentClientRegistryTest,38,@Test(expected = PropertyBindingException.class),original annotation,41,@Test,modified annotation,migrate to junit 5,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,e36adb2fd8dbfdc05deb43bc33618565a7f5ed15,Remove Class Annotation,Remove Class Annotation @Ignore in class org.apache.camel.component.netty4.http.NettyHttpRestContextPathMatcherTest,25,@Ignore,deleted annotation,24,org.apache.camel.component.netty4.http.NettyHttpRestContextPathMatcherTest,class declaration with removed annotation,migrate to junit 5,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
orientdb,16cc0615b4ace9b0c0eb679c481e003831011a92,Remove Method Annotation,Remove Method Annotation @Ignore in method public testSingleThreadWithTransactionSBTreeRidBag() : void from class com.tinkerpop.blueprints.impls.orient.OrientCommitMT,123,@Ignore,deleted annotation,121,public testSingleThreadWithTransactionSBTreeRidBag() : void,method declaration with removed annotation,"when migrating from testng to junit, it changed @Test priority to @FixMethodOrder",[Migrate to Junit5],MIGRATION,JUNIT5 MIGRATE GRADUAL
storm,60799cf0f9420f1e4878a41cff8de20949f6d363,Add Method Annotation,Add Method Annotation @Before in method public setUp() : void from class backtype.storm.serialization.GzipBridgeSerializationDelegateTest,,public setUp() : void,original method declaration,31,@Before,added annotation,"in future commit (d6a1e730e) migrated junit 4 category to junit 5 tag for readability. / instead of using parameterized test, extracted method and delegate.",[ migration ],MIGRATION,JUNIT5 MIGRATE GRADUAL
storm,ceb867c8c048528cfc71e7d580a3372775a23508,Modify Method Annotation,Modify Method Annotation @Test(timeout = 10000) to @Test in method public testFirstMessageFirst() : void from class org.apache.storm.utils.JCQueueTest,30,@Test(timeout = 10000),original annotation,31,@Test,modified annotation,migrating to junit4,[Junit 5 Migrate] [ Gradual ],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,68adc34fa5d58cffdc174a464eaf1f1235f20f8a,Add Class Annotation,Add Class Annotation @FixMethodOrder(MethodSorters.NAME_ASCENDING) in class org.apache.camel.component.rabbitmq.integration.RabbitMQInOutIntTest,46,org.apache.camel.component.rabbitmq.RabbitMQInOutIntTest,original class declaration,49,@FixMethodOrder(MethodSorters.NAME_ASCENDING),added annotation,some tests cannot be tested on specific windows. Migration to Junit 5 allows use of annotation.,[Migrate Junit 5 -> Conditional @Ignored],MIGRATION,JUNIT5 MIGRATE GRADUAL
camel,39926008f25b3ada3fd375410dbc38ceeb21d323,Add Method Annotation,"Add Method Annotation @Ignore(""Work in progress"") in method public testLocalNexus() : void from class org.apache.camel.catalog.nexus.LocalNexusRepositoryTest",38,public testLocalNexus() : void,original method declaration,40,"@Ignore(""Work in progress"")",added annotation,Migrate junit 3 to junit 4,[Junit 4 Migrate] [ Automated ],MIGRATION,JUNIT4 MIGRATE
storm,a1c159fe19dc28c90f5d27534add765a6520daf7,Add Class Annotation,Add Class Annotation @Category(IntegrationTest.class) in class org.apache.storm.elasticsearch.bolt.AbstractEsBoltIntegrationTest,40,org.apache.storm.elasticsearch.bolt.AbstractEsBoltIntegrationTest,original class declaration,42,@Category(IntegrationTest.class),added annotation,favours junit over testng,[Migrate from testNG to Junit5],MIGRATION,TESTNG TO JUNIT
ambari,7e4f57b16493cf6df1ef68a1270bfcec8e9df48c,Add Attribute Annotation,Add Attribute Annotation @Inject in attribute private clusters : Clusters from class org.apache.ambari.server.events.listeners.upgrade.HostVersionOutOfSyncListenerTest,63,private clusters : Clusters,original attribute declaration,74,@Inject,added annotation,Use dependency injection external dep instead of mocking,[@Injection vs Static Field vs Mock],MOCKING,MOCKING VS INJECTION
ambari,e667dc7c9870864ff537374c819b7c1d1dd88e98,Add Class Annotation,Add Class Annotation @RunWith(PowerMockRunner.class) in class org.apache.ambari.server.utils.TestStageUtils,67,org.apache.ambari.server.utils.TestStageUtils,original class declaration,75,@RunWith(PowerMockRunner.class),added annotation,powermock static class,[Junit runWith @PowerMock],MOCKING,MOCK NAMESPACE ERROR
ambari,31d8208b8ba2bf87bb089532a8fe093ef606385f,Add Class Annotation,"Add Class Annotation @PowerMockIgnore({""javax.management.*""}) in class org.apache.ambari.server.configuration.ConfigurationTest",58,org.apache.ambari.server.configuration.ConfigurationTest,original class declaration,60,"@PowerMockIgnore({""javax.management.*""})",added annotation,"@Powermock has its own classloader, so it may lead to namespsace error.",[namespaceError -> @PowerMockIgnore],MOCKING,MOCK NAMESPACE ERROR
flink,031256ef293a4f900cbfdc251bd0a9db268e1aa6,Modify Class Annotation,"Modify Class Annotation @PowerMockIgnore(""javax.net.ssl.*"") to @PowerMockIgnore({""javax.net.ssl.*"",""javax.management.*""}) in class org.apache.flink.metrics.datadog.DatadogHttpClientTest",49,"@PowerMockIgnore(""javax.net.ssl.*"")",original annotation,49,"@PowerMockIgnore({""javax.net.ssl.*"",""javax.management.*""})",modified annotation,"Linkage error caused by powermock causes numerous errors including ""IllegalAccessError"". To fix that dev use @PowerMockIgnore() various classes ( ad-hoc ) until error is not thrown; dev don't really know the root cause.",[namespaceError -> @PowerMockIgnore],MOCKING,MOCK NAMESPACE ERROR
flink,1c2361e25044a3d73e64763d3566cb001103087e,Modify Method Annotation,"Modify Method Annotation @Parameterized.Parameters to @Parameterized.Parameters(name = ""Incremental checkpointing: {0}"") in method public parameters() : Collection<Boolean> from class org.apache.flink.contrib.streaming.state.RocksDBStateBackendTest",98,@Parameterized.Parameters,original annotation,98,"@Parameterized.Parameters(name = ""Incremental checkpointing: {0}"")",modified annotation,Linkage error is typical when using powermock because it uses it's own class loader.,[namespaceError -> @PowerMockIgnore],MOCKING,MOCK NAMESPACE ERROR
kafka,1681c78f60a3a75e69e2222be0649cd61f02f042,Modify Method Annotation,"Modify Method Annotation @Parameterized.Parameters(name = ""leftJoin={0}, optimization={1}"") to @Parameterized.Parameters(name = ""leftJoin={0}, optimization={1}, materialized={2}, rejoin={3}"") in method public data() : Collection<Object[]> from class org.apache.kafka.streams.integration.KTableKTableForeignKeyJoinIntegrationTest",75,"@Parameterized.Parameters(name = ""leftJoin={0}, optimization={1}"")",original annotation,85,"@Parameterized.Parameters(name = ""leftJoin={0}, optimization={1}, materialized={2}, rejoin={3}"")",modified annotation,when redundancy in classloader throws java.lang.NoClassDefFoundError,[ Mock ],MOCKING,MOCK NAMESPACE ERROR
ambari,3dd9ae471abfd6df36bf6fe902c3de9c81c57579,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test in method public testDeadlockBetweenImplementations() : void from class org.apache.ambari.server.state.cluster.ClusterDeadlockTest,146,@Test(timeout = 30000),original annotation,147,@Test,modified annotation,System class should @PreparedFor,[Using powermock],MOCKING,MOCK USAGE
ambari,a1c04756e8975885d939631d0523ae345d12ac7e,Add Method Annotation,Add Method Annotation @Ignore in method public testStateCommandsWithAlertsGeneration() : void from class org.apache.ambari.server.agent.TestHeartbeatMonitor,551,public testStateCommandsWithAlertsGeneration() : void,original method declaration,552,@Ignore,added annotation,Use @RunWith(PowerMock) to allow use of mock,[Junit runWith @PowerMock],MOCKING,MOCK USAGE
